SPG21	[0.14832344 0.00042383]
STX2	[-0.08661797  0.04028015]
C9orf126	[0.08659457 0.04033437]
PARP11	[-0.08659183  0.0403407 ]
ANAPC1	[0.08655994 0.0404147 ]
CD300LF	[-0.08653265  0.0404781 ]
RRAS2	[0.08649725 0.04056045]
GJA7	[-0.08649634  0.04056259]
CENTB5	[-0.08645248  0.04066484]
MRPL21	[0.08643046 0.04071625]
YLPM1	[0.08640888 0.0407667 ]
HSDL2	[0.08640652 0.04077221]
SOD2	[-0.08639913  0.04078949]
RND3	[0.08637326 0.04085008]
FRS3	[-0.08635383  0.04089561]
TYROBP	[-0.08628391  0.04105986]
ZNF781	[-0.08627866  0.04107219]
ORMDL3	[-0.0862773  0.0410754]
SLC35B2	[-0.08626521  0.04110387]
DLAT	[0.08626231 0.04111071]
LOC202459	[-0.08626068  0.04111454]
C11orf30	[0.08622807 0.04119142]
HUWE1	[0.08618275 0.04129846]
HPRT1	[0.0861535  0.04136767]
AGPAT4	[-0.08613796  0.04140447]
MARCKS	[-0.08598432  0.04176991]
TNFRSF9	[-0.08595345  0.04184366]
C1QA	[-0.08594097  0.0418735 ]
SAE1	[0.08591222 0.04194233]
CKAP5	[0.08590438 0.04196112]
LYST	[-0.08586712  0.04205047]
CD84	[-0.08585082  0.04208964]
EXPH5	[0.08580296 0.04220476]
CX40.1	[-0.08580246  0.04220596]
TARSL2	[0.08579826 0.04221608]
GTF3C4	[0.08569903 0.04245567]
RHOBTB3	[-0.08568005  0.04250164]
KIAA1706	[-0.08567313  0.04251839]
CD27	[-0.08563521  0.04261037]
LRRC51	[0.08561283 0.04266473]
RPS17	[0.08559883 0.04269877]
GSTP1	[0.08558861 0.04272362]
FARSB	[0.08543705 0.04309374]
LAIR1	[-0.08538037  0.04323285]
AIFM1	[0.08533444 0.04334586]
HLX	[-0.08531307  0.04339853]
LAX1	[-0.08530543  0.04341737]
GAS7	[-0.08526674  0.04351288]
PPARD	[-0.08525943  0.04353094]
C20orf106	[0.08524517 0.04356621]
JMJD2A	[0.08518627 0.04371211]
HTRA4	[-0.08515743  0.04378369]
ICOS	[-0.08514744  0.0438085 ]
CNP	[-0.08512823  0.04385627]
KCNA3	[-0.08511122  0.04389861]
HERC1	[0.08510443 0.0439155 ]
HOMER2	[0.08509637 0.04393559]
FAM26F	[-0.08506408  0.04401609]
NR4A1	[0.08504909 0.0440535 ]
JUN	[0.08503498 0.04408875]
TRIM38	[-0.08502781  0.04410665]
SLC5A5	[-0.08497389  0.04424159]
KBTBD4	[0.08496192 0.04427161]
TRPM7	[0.08493047 0.04435052]
TMEM184B	[-0.08490189  0.04442234]
RFT1	[0.08488622 0.04446174]
STK38	[-0.08488393  0.04446752]
FCGR1A	[-0.08488149  0.04447365]
BMS1	[0.08487563 0.04448839]
C1QB	[-0.08484779  0.04455853]
CD34	[-0.08480312  0.04467126]
LMNB2	[0.08480174 0.04467476]
CXorf21	[-0.08478293  0.04472229]
ZNRF2	[-0.08476294  0.04477286]
ROPN1	[-0.08471887  0.04488453]
HOXC4	[0.0847154  0.04489332]
HERV-FRD	[-0.08471495  0.04489446]
GZF1	[0.08468424 0.04497244]
KIAA2026	[0.0846451  0.04507197]
NPFFR2	[-0.08464429  0.04507402]
TBC1D22B	[-0.08464225  0.04507922]
RP11-50D16.3	[-0.08464198  0.04507992]
RMND5A	[0.08463693 0.04509277]
LOXL1	[-0.08463304  0.04510266]
FBXL11	[0.08462955 0.04511156]
SCAND2	[0.08461326 0.04515308]
KIRREL3	[-0.0845792   0.04523996]
SCYL1	[0.08456159 0.04528494]
CTR9	[0.08454732 0.04532144]
EEF1G	[0.08454163 0.04533599]
RASSF8	[-0.08453494  0.04535309]
MRPL32	[-0.08447069  0.04551775]
GLRX	[-0.08446374  0.04553558]
FAM27E1	[-0.08445317  0.04556273]
ADCY5	[-0.08442448  0.04563647]
AQR	[0.08438097 0.04574851]
SPATA16	[-0.08435321  0.0458201 ]
MIZF	[0.08434516 0.04584088]
ANGPTL3	[-0.08432783  0.04588562]
OR6V1	[-0.08429917  0.04595974]
RSF1	[0.08428116 0.04600636]
TTLL4	[0.08427209 0.04602984]
FLVCR2	[-0.08422069  0.04616317]
C6orf49	[-0.08422025  0.04616432]
TAS2R8	[-0.08421182  0.0461862 ]
FBXL21	[-0.08419352  0.04623378]
SPTY2D1	[0.08416878 0.04629815]
AKT1	[0.08416238 0.04631481]
TFAP2D	[-0.08407723  0.04653699]
BLVRB	[-0.08405838  0.04658632]
ATP13A4	[-0.08397608  0.0468021 ]
ABHD2	[0.08394084 0.04689476]
VIP	[-0.08392898  0.04692599]
SYN2	[-0.08392155  0.04694555]
DDX5	[-0.08391921  0.0469517 ]
NARS2	[0.08387402 0.04707089]
IWS1	[0.08384737 0.04714126]
LY96	[-0.08381819  0.04721847]
ITGA10	[-0.08379759  0.04727301]
DEC1	[-0.08376928  0.04734807]
IQGAP2	[-0.08374963  0.04740022]
STARD6	[-0.08374838  0.04740353]
ENOPH1	[-0.08374619  0.04740933]
C10orf12	[0.08372893 0.04745521]
SPRY1	[-0.08370991  0.04750578]
NUDT15	[0.08365369 0.04765553]
MRPS9	[0.08364579 0.04767661]
CNOT7	[0.08361606 0.04775599]
AAMP	[0.08357717 0.04786   ]
SEPT3	[-0.08357208  0.04787362]
OR10Z1	[-0.08354483  0.04794664]
ZC3H14	[0.08351815 0.04801822]
PIGB	[0.08351137 0.0480364 ]
KLC4	[-0.08347212  0.04814189]
FLCN	[-0.08343322  0.04824665]
RAB19	[-0.08342358  0.04827262]
ELP4	[0.08341863 0.04828596]
APEH	[0.08341841 0.04828657]
PLEKHO1	[-0.08340293  0.04832834]
ERCC3	[0.0833958  0.04834757]
CLIC1	[-0.0833934   0.04835406]
RGL1	[-0.08337541  0.04840265]
NPL	[-0.08333571  0.04851003]
AMTN	[-0.08330797  0.04858519]
CRMP1	[-0.08329046  0.04863266]
KIF18A	[0.08325582 0.04872671]
ADK	[0.08323762 0.04877619]
PRR16	[-0.0832304   0.04879582]
U2AF1	[0.0831954  0.04889115]
CST6	[0.083176   0.04894402]
PRC1	[0.08311642 0.04910677]
CUL3	[0.08311181 0.04911936]
TIAM1	[0.08310778 0.04913039]
PRPH2	[-0.08299364  0.04944354]
KIAA0020	[0.08297482 0.04949535]
TNFAIP8L2	[-0.08296771  0.04951491]
PCDH15	[-0.08296235  0.04952967]
BTBD7	[0.08293611 0.04960201]
GCAT	[-0.08291701  0.04965473]
KIAA1949	[-0.08289906  0.0497043 ]
C2orf58	[-0.08288512  0.04974281]
KCNJ6	[-0.08288137  0.04975319]
QARS	[0.08287144 0.04978066]
TMEFF2	[-0.08282193  0.04991779]
C6orf12	[-0.08282044  0.04992191]
TAX1BP3	[0.0828085  0.04995504]
ERBB3	[0.0827999  0.04997891]
DYNC1H1	[0.08277973 0.0500349 ]
HOXD13	[-0.08275081  0.05011531]
CTDP1	[-0.08274374  0.050135  ]
EHF	[0.08273761 0.05015204]
C2orf32	[-0.08272749  0.05018022]
SUGT1	[0.08271596 0.05021234]
PRICKLE1	[-0.08270599  0.05024015]
PFAS	[0.08267032 0.05033967]
FABP7	[-0.08265412  0.05038492]
FLNB	[0.08262725 0.05046005]
RPL28	[0.08262514 0.05046595]
GLYATL1	[-0.08257725  0.05060012]
SLC22A2	[-0.08256446  0.05063601]
SETD4	[0.08256246 0.0506416 ]
NFATC3	[0.0825609  0.05064599]
TMOD3	[0.08254934 0.05067843]
AGTR2	[-0.08253744  0.05071186]
C14orf156	[0.0825228  0.05075301]
SMARCAL1	[0.08251807 0.05076633]
TXNDC15	[-0.08250446  0.05080461]
ALDH1A3	[-0.08250087  0.0508147 ]
DNAJC14	[0.08249176 0.05084036]
KIAA1530	[-0.08247815  0.05087868]
C20orf10	[0.08246195 0.05092434]
PGBD5	[-0.08244772  0.05096449]
PAPD1	[0.08244004 0.05098615]
HK1	[0.08243505 0.05100025]
ZNF354C	[-0.08243364  0.05100421]
TSPAN14	[0.08240693 0.05107968]
IL8	[-0.08238641  0.05113771]
SV2C	[-0.0823844  0.0511434]
FGL2	[-0.08234432  0.05125692]
PLN	[-0.08233375  0.05128689]
TTLL5	[0.08225472 0.05151146]
ATP5L	[0.08224402 0.05154191]
RAB11A	[0.08224044 0.05155211]
KCNJ2	[-0.0822303   0.05158102]
LOC55565	[-0.08220679  0.05164804]
LSM2	[-0.0822053   0.05165229]
LPHN3	[-0.08220325  0.05165814]
AQP1	[-0.08216354  0.05177155]
PTGER3	[-0.08212986  0.05186792]
LAMP3	[-0.0821292  0.0518698]
NADSYN1	[0.08212537 0.05188078]
CCK	[-0.08209973  0.05195425]
HLA-DQA2	[-0.08205476  0.05208329]
DUSP15	[-0.08204334  0.05211612]
CS	[0.08203768 0.05213238]
MSH4	[-0.08203636  0.05213618]
NDST4	[-0.08203398  0.05214303]
C6orf65	[-0.08202376  0.05217242]
KRAS	[-0.08199221  0.05226326]
RRP1	[0.08197499 0.0523129 ]
C5orf20	[-0.08196855  0.05233146]
LST1	[-0.08195528  0.05236975]
FBXO10	[-0.08190398  0.05251798]
PCF11	[0.08189823 0.05253463]
C1QL2	[-0.08189515  0.05254355]
C11orf65	[0.08188525 0.0525722 ]
OFD1	[0.08187634 0.05259801]
SRGAP1	[0.08187229 0.05260973]
C1orf54	[-0.08186269  0.05263755]
ARL10	[-0.0818606  0.0526436]
PPP1R15A	[0.08185962 0.05264644]
F13B	[-0.08183445  0.05271947]
PCLO	[-0.08181964  0.05276246]
BCR	[0.0817738  0.05289574]
PDGFA	[-0.08175691  0.0529449 ]
EIF4G1	[0.08175605 0.0529474 ]
CNDP1	[-0.08173706  0.05300274]
RYR3	[-0.08173031  0.05302243]
C11orf71	[0.08163881 0.0532898 ]
CYLC1	[-0.08160229  0.05339683]
PKIB	[-0.08159608  0.05341507]
LHCGR	[-0.08157601  0.05347399]
DEFB127	[-0.08154959  0.05355162]
STGC3	[-0.08154959  0.05355163]
NUP188	[0.08153337 0.05359933]
SPAG16	[-0.08150648  0.05367851]
SCGB1D2	[0.08150066 0.05369565]
LILRB2	[-0.08147302  0.05377715]
UBXD6	[0.08141849 0.05393825]
DDHD1	[-0.08140486  0.05397857]
RASSF6	[-0.08137756  0.05405945]
CPA3	[-0.08136932  0.05408388]
C3orf54	[-0.08136892  0.05408505]
C8orf31	[-0.08134041  0.05416963]
PPP4R2	[0.08130977 0.05426066]
APBA2	[-0.08130511  0.0542745 ]
FCHSD2	[0.08125265 0.05443067]
KIAA1450	[-0.08125095  0.05443575]
OR5D14	[-0.08124863  0.05444265]
AP3D1	[0.0812384  0.05447316]
NAALADL1	[0.08122874 0.05450198]
TOP2B	[0.081201   0.05458481]
CPO	[-0.0811986   0.05459196]
MYBPHL	[0.08119372 0.05460656]
RALGPS2	[0.08118416 0.05463514]
FOS	[0.08117439 0.05466433]
CCDC8	[0.08116379 0.05469605]
GIMAP2	[-0.08114104  0.05476417]
PLA2G7	[-0.08113199  0.05479129]
ADAMTS2	[-0.08108817  0.05492276]
STOX2	[-0.08107227  0.0549705 ]
NR2F1	[-0.08107134  0.05497331]
NFYA	[-0.08106804  0.05498321]
BAALC	[-0.08104871  0.05504136]
GSPT1	[0.08103873 0.05507136]
GPR158	[-0.08103207  0.05509142]
TRIP10	[0.08102947 0.05509926]
NXPH2	[-0.0809971   0.05519677]
KCNJ10	[-0.08098791  0.0552245 ]
TJP3	[0.08097137 0.0552744 ]
NPLOC4	[-0.08096567  0.05529162]
PDGFRB	[-0.08096292  0.05529991]
MYO9A	[0.08095994 0.05530893]
CMTM7	[0.08095129 0.05533507]
IL22RA2	[-0.08093709  0.05537797]
GPR82	[-0.08093197  0.05539346]
DAD1	[-0.08087637  0.05556182]
ZNF137	[0.08086771 0.05558807]
CINP	[0.08086088 0.0556088 ]
VDAC2	[0.0808583  0.05561663]
CXCL9	[-0.08085438  0.05562853]
WDR66	[0.08083845 0.0556769 ]
SEMA6C	[-0.08083149  0.05569804]
MAP7D3	[0.08081354 0.05575258]
IFT80	[0.08080092 0.05579098]
ARHGAP15	[-0.08079767  0.05580086]
HIST1H3D	[-0.08079604  0.05580583]
LOC728215	[-0.08077859  0.05585893]
MYO1F	[-0.0807588   0.05591924]
EDIL3	[-0.08075815  0.05592121]
ERICH1	[0.08075577 0.05592849]
HDDC2	[0.08074792 0.05595242]
MINPP1	[-0.08071784  0.0560442 ]
ADC	[-0.08071579  0.05605047]
UNC13A	[-0.08067446  0.05617679]
AKTIP	[0.08066835 0.05619551]
RNF10	[0.08066729 0.05619874]
FAM112A	[-0.08063178  0.0563075 ]
CD79A	[-0.08061257  0.05636644]
SI	[-0.08059868  0.05640906]
DICER1	[0.08059124 0.05643192]
RCOR1	[0.08056647 0.05650802]
TASP1	[0.08055387 0.05654678]
USP9X	[0.08053508 0.05660461]
IDUA	[-0.08048375  0.05676285]
CXorf56	[0.08046615 0.05681717]
CSRP2BP	[0.08044202 0.05689177]
GPR153	[-0.08041702  0.05696909]
FLJ21511	[-0.08041083  0.05698826]
NRG4	[0.08040719 0.05699952]
PPP2R5D	[-0.08040144  0.05701735]
UBD	[-0.08039818  0.05702744]
HAVCR2	[-0.08035593  0.05715846]
FLJ45717	[-0.08033385  0.05722703]
ETV1	[-0.08032037  0.05726892]
DCAKD	[-0.08031201  0.05729494]
OR2B3	[-0.08030224  0.05732533]
PMP22	[-0.08028282  0.05738576]
MMP14	[-0.08027129  0.0574217 ]
SLC25A46	[-0.08026989  0.05742606]
GYS1	[0.08026316 0.05744703]
C9orf103	[0.08022825 0.05755593]
TM4SF20	[-0.08020299  0.05763483]
TLR8	[-0.08015316  0.05779074]
E2F8	[0.08014425 0.05781866]
GPR77	[-0.08013062  0.05786139]
SMC3	[0.08008099 0.05801719]
CNR1	[-0.08005438  0.05810087]
FZD8	[-0.0800474   0.05812283]
GPR65	[-0.08003549  0.05816032]
SLC16A13	[-0.08002735  0.05818597]
SKIV2L	[-0.07999569  0.05828578]
MGAT4A	[-0.07999521  0.05828731]
XKR3	[-0.07999503  0.05828788]
RUNDC3A	[-0.07997441  0.05835296]
AHNAK2	[0.07995616 0.05841059]
IFNAR1	[0.07995232 0.05842275]
NKG7	[-0.07995129  0.058426  ]
ZNF480	[0.0799161  0.05853731]
DDX19A	[0.07991036 0.05855548]
AGTRL1	[-0.07988625  0.05863188]
TMSB10	[-0.07986341  0.05870434]
MMD	[-0.07986305  0.05870548]
ANKRD12	[0.07984649 0.05875804]
KIF6	[-0.07983717  0.05878766]
SEC23B	[0.0798277  0.05881776]
GYLTL1B	[0.07980624 0.058886  ]
FOXP4	[-0.07978711  0.05894687]
VAV3	[-0.07978451  0.05895516]
TRIM39	[-0.07976195  0.05902704]
STARD4	[-0.0797613   0.05902913]
FYB	[-0.07975191  0.05905905]
EGR2	[0.07973698 0.0591067 ]
UBE2Z	[-0.07973209  0.0591223 ]
CPEB1	[-0.07971736  0.05916934]
HPCAL4	[-0.079701    0.05922162]
SLC6A8	[0.07967408 0.05930772]
PCYT2	[-0.07965861  0.05935725]
PCID2	[0.07965659 0.05936372]
LIPK	[-0.07962021  0.05948033]
RPP14	[0.07961451 0.05949861]
KDELR1	[0.07954538 0.0597208 ]
RDBP	[-0.07952035  0.05980143]
GIMAP5	[-0.079519    0.05980576]
PPP2CB	[0.0795175  0.05981058]
HS1BP3	[-0.07950926  0.05983715]
CADPS2	[-0.07950724  0.05984367]
DDX27	[0.07948332 0.05992085]
RUVBL1	[0.07947336 0.059953  ]
CDH10	[-0.07945659  0.06000717]
SLAMF8	[-0.07945562  0.06001029]
SLC36A1	[-0.0794522   0.06002137]
ZDHHC11	[-0.07943126  0.06008909]
KLRG2	[-0.07942577  0.06010682]
TRPV2	[-0.07942121  0.06012161]
RSAD1	[-0.07941288  0.06014858]
RNF111	[0.07938379 0.06024283]
KRT18	[0.07935833 0.0603254 ]
PIK3C2A	[0.07926836 0.06061801]
PSPC1	[0.07925726 0.06065421]
OR8G5	[-0.07925332  0.06066704]
SIGLEC1	[-0.07921111  0.06080482]
CDC27	[-0.07920931  0.06081072]
RAB5C	[-0.0791698   0.06093992]
PPP1R13B	[0.07916631 0.06095135]
BACH2	[-0.07916269  0.06096318]
TLL1	[-0.0791555   0.06098673]
OR1C1	[-0.07914941  0.06100668]
ART4	[-0.07914882  0.0610086 ]
KIAA0513	[-0.07912004  0.06110296]
GZMK	[-0.07911199  0.06112937]
C1orf101	[-0.07907438  0.06125291]
MCF2L2	[-0.07907137  0.0612628 ]
IRF8	[-0.07906627  0.06127957]
EIF5B	[0.07902576 0.06141287]
ROPN1B	[-0.07902455  0.06141688]
IL1F5	[-0.07901797  0.06143855]
CYP1B1	[-0.07900337  0.06148666]
SCGN	[-0.07899943  0.06149967]
PBXIP1	[-0.07895587  0.06164347]
ELN	[-0.07893694  0.06170605]
APPL1	[0.07892586 0.06174269]
SLC25A44	[-0.07889919  0.06183099]
DENND2C	[-0.07888454  0.06187955]
PTPRC	[-0.07888143  0.06188985]
CCDC72	[0.07886698 0.06193776]
RAB1B	[0.07885739 0.06196958]
SELV	[-0.07885362  0.06198209]
DPPA5	[-0.07884639  0.06200609]
BUD13	[0.07884208 0.06202042]
HMG20A	[0.07881977 0.06209453]
tcag7.1314	[-0.07880499  0.06214367]
C6orf141	[-0.07880499  0.06214369]
DDIT4L	[-0.0788041   0.06214665]
C6orf145	[-0.07879557  0.06217504]
RBP4	[-0.07878556  0.06220834]
MCM8	[0.07877137 0.06225561]
TRAF3IP2	[0.07876385 0.06228064]
INOC1	[0.07875161 0.06232146]
C20orf20	[-0.07874504  0.06234335]
SH2D1B	[-0.0787306   0.06239154]
MYC	[0.07872284 0.06241745]
TMEM154	[-0.07868765  0.06253501]
PRMT8	[-0.07866275  0.06261833]
PREX1	[-0.07864909  0.06266407]
RAB17	[0.07864263 0.06268569]
CKAP2	[0.07864121 0.06269045]
NOTCH4	[-0.07863568  0.062709  ]
SLC16A9	[0.07861774 0.06276913]
ELMO1	[-0.07860777  0.06280258]
KIAA1913	[-0.07859222  0.06285478]
RPS18	[-0.07857845  0.06290102]
EYA4	[-0.07857656  0.06290737]
HMG20B	[0.07857035 0.06292826]
SOD1	[0.07856397 0.06294969]
AOAH	[-0.07853768  0.06303813]
ZNF143	[0.07852904 0.06306721]
ADAM19	[-0.07852041  0.06309627]
C14orf79	[0.07850118 0.06316108]
CLEC5A	[-0.07848518  0.06321504]
CYP3A43	[-0.07846966  0.06326743]
C9orf58	[0.07845115 0.06332994]
DCUN1D2	[0.07845094 0.06333065]
NDUFAF1	[0.07843795 0.06337456]
FOXN2	[-0.07842812  0.0634078 ]
ETV4	[-0.07841438  0.06345427]
PAPOLB	[-0.07837984  0.06357126]
SEPT14	[-0.07834498  0.06368947]
RAB31	[-0.07834031  0.06370535]
TNFRSF10C	[-0.07832161  0.06376885]
ZEB1	[-0.07830743  0.06381707]
NEK4	[0.07826247 0.06397008]
DPM3	[-0.07824757  0.06402085]
PPARG	[-0.07824419  0.06403238]
CXCL11	[-0.07823948  0.06404844]
ADAMTS20	[-0.07823927  0.06404915]
MGC45922	[-0.07822723  0.06409021]
DCTN6	[0.07821439 0.06413406]
REEP4	[0.07820065 0.06418096]
ENTPD1	[-0.07819511  0.06419989]
C8A	[-0.07819198  0.06421058]
STAT6	[0.07818631 0.06422997]
TDRD6	[-0.07816483  0.06430343]
TMPRSS11F	[-0.07813835  0.06439409]
C15orf42	[0.07811769 0.06446486]
PCTK1	[0.07810757 0.0644996 ]
COX4I2	[-0.07810617  0.06450438]
CEACAM8	[-0.07808516  0.0645765 ]
APOO	[0.07807555 0.06460948]
P2RX7	[-0.07805078  0.06469462]
TRUB2	[0.07802405 0.06478658]
OR12D2	[-0.07801686  0.06481135]
PCM1	[0.07801168 0.06482918]
PSCD4	[-0.07800675  0.06484615]
HEY2	[0.07800372 0.06485661]
HADHB	[0.07796598 0.06498675]
DDX50	[0.07796214 0.065     ]
BGN	[-0.07794694  0.0650525 ]
C10orf18	[0.07793763 0.06508465]
CDKN1A	[-0.07793466  0.06509491]
SPON2	[-0.07789926  0.06521734]
DYNLT1	[-0.07788869  0.06525395]
SNCA	[-0.07788398  0.06527026]
RIMS1	[-0.07778464  0.0656151 ]
GIMAP4	[-0.07777836  0.06563694]
CST7	[-0.07777454  0.06565025]
GANAB	[0.07775013 0.06573523]
PAX2	[-0.07773156  0.06579995]
LAPTM5	[-0.07772119  0.06583613]
TIGD4	[-0.07769769  0.06591814]
LILRB4	[-0.0776965   0.06592229]
HAPLN1	[-0.07767654  0.06599202]
IL8RA	[-0.07767278  0.06600516]
RCL1	[0.07766586 0.06602937]
TIMM13	[0.07766281 0.06604002]
CD247	[-0.07763949  0.06612162]
ETNK2	[-0.07763624  0.06613301]
ADAM22	[-0.0776261   0.06616851]
SPTA1	[-0.07759674  0.06627143]
DYNC2H1	[0.07757232 0.06635712]
POLA2	[0.07757009 0.06636493]
MORC1	[-0.07753515  0.06648771]
ZDHHC13	[0.07749468 0.06663019]
C6orf153	[-0.07747323  0.06670576]
NUSAP1	[0.07746223 0.06674459]
HOXB4	[-0.07745383  0.06677423]
GSTT1	[-0.07743161  0.06685267]
COL3A1	[-0.07740113  0.06696041]
DENND1B	[-0.07738952  0.06700148]
NEUROD6	[-0.07737328  0.06705897]
CXorf15	[0.07737155 0.06706511]
GLO1	[-0.07735739  0.06711526]
RAB33A	[-0.07735509  0.06712344]
NOP5/NOP58	[0.07733504 0.06719454]
DCP1A	[0.0773273  0.06722199]
CTLA4	[-0.07731198  0.06727637]
ERLIN1	[0.07729613 0.06733266]
APOLD1	[-0.07727507  0.06740754]
MMP8	[-0.07726265  0.06745172]
IFNA7	[-0.07726157  0.06745558]
EYA1	[-0.07725699  0.06747188]
CCDC55	[0.07724865 0.06750154]
GALK2	[0.07724186 0.06752573]
HIST1H2BD	[-0.07722076  0.06760091]
ARL4D	[0.07719027 0.06770968]
MSLN	[0.07718665 0.06772261]
TRIM25	[0.07717621 0.0677599 ]
RPL22	[0.07714265 0.06787984]
OR7G3	[-0.07714159  0.06788363]
TAF8	[-0.07713826  0.06789555]
RAB3B	[-0.07713663  0.0679014 ]
TAS2R13	[-0.07713449  0.06790905]
ELOVL5	[-0.07712856  0.06793026]
NPPA	[-0.07711026  0.0679958 ]
TAAR2	[-0.07710848  0.06800216]
PTPN9	[0.0770997  0.06803364]
CBS	[0.07707483 0.06812282]
AHSA1	[0.07707415 0.06812525]
PCP4	[0.07704491 0.0682302 ]
TMEM123	[0.07703667 0.06825981]
BCAS3	[-0.07700804  0.06836277]
HNT	[-0.07698966  0.06842893]
CAT	[0.07692462 0.06866345]
AKAP13	[0.07692306 0.06866905]
SLC22A15	[-0.07686952  0.06886264]
LETMD1	[0.0768514  0.06892826]
COL10A1	[-0.07684008  0.06896925]
UBQLN3	[-0.07683662  0.06898179]
BUB1B	[0.07682862 0.06901079]
C9orf61	[0.07681978 0.06904285]
C13orf28	[-0.07681481  0.06906089]
SGCB	[-0.07679706  0.0691253 ]
PLAGL1	[-0.07678318  0.06917573]
HADHA	[0.07677354 0.06921075]
MYH10	[0.07677088 0.0692204 ]
PTHR1	[-0.07676557  0.06923973]
PLCZ1	[-0.07675784  0.06926782]
PTPN22	[-0.07675634  0.06927327]
CD3D	[-0.0767497   0.06929743]
PKHD1L1	[0.07673099 0.06936554]
AP3M1	[0.07673069 0.06936662]
THBS2	[-0.07671239  0.06943328]
GREB1	[0.07670964 0.0694433 ]
TMPRSS3	[0.07667543 0.06956807]
ACYP2	[-0.07667355  0.06957493]
RAD51L3	[-0.07666385  0.06961034]
SNAP91	[-0.07665392  0.06964662]
NMB	[0.07663369 0.06972056]
TBP	[-0.07661034  0.06980599]
RPS6KA5	[0.07660821 0.06981378]
NCF2	[-0.07660706  0.06981797]
PALMD	[0.07660324 0.06983194]
FLJ37440	[-0.07660282  0.0698335 ]
TRMT6	[0.0765744  0.06993759]
SEC16B	[-0.07656481  0.06997276]
PEO1	[0.07653575 0.07007942]
CNTNAP5	[-0.07653449  0.07008404]
PAQR8	[-0.07652594  0.07011543]
FCGR2B	[-0.07652165  0.07013118]
PDLIM1	[0.07651808 0.07014431]
ITM2C	[-0.07650673  0.07018603]
FIBIN	[-0.07649108  0.07024359]
CLEC7A	[-0.07648399  0.07026966]
FOXRED1	[0.07644866 0.07039979]
FAIM2	[-0.0764312   0.07046417]
GADD45B	[0.07643019 0.07046789]
GABRA2	[-0.07640472  0.07056187]
C11orf67	[0.07639537 0.07059642]
MID1	[0.07638614 0.07063049]
WHSC1L1	[0.07637841 0.07065907]
HIGD1B	[-0.07634663  0.07077662]
MSH5	[-0.07633586  0.07081651]
WBSCR18	[-0.07632686  0.07084983]
KLF13	[0.07626505 0.07107912]
LAIR2	[-0.07625828  0.07110427]
CA5B	[0.07625199 0.07112766]
CLCN7	[-0.07621564  0.07126286]
TOMM34	[0.0761996  0.07132258]
GPX3	[-0.07618503  0.07137686]
TRA@	[-0.07616794  0.0714406 ]
TBX5	[-0.07615861  0.0714754 ]
PDC	[-0.07614822  0.07151417]
TMTC4	[0.07613946 0.07154689]
NCBP1	[0.07613752 0.07155413]
PRDX6	[0.07611376 0.07164291]
C6orf107	[-0.07611148  0.07165145]
KIF4B	[-0.07610731  0.07166703]
MARCH2	[-0.07610046  0.07169264]
STARD3NL	[-0.07609667  0.07170684]
FUT10	[0.0760844  0.07175274]
IL18RAP	[-0.07607134  0.07180166]
KRT74	[-0.07606209  0.07183632]
CRYGA	[-0.07605194  0.07187433]
KBTBD2	[-0.07600716  0.07204237]
EAF1	[-0.07597667  0.07215693]
HMBS	[0.07597014 0.07218152]
ZNF354A	[-0.07596294  0.07220859]
DGCR8	[0.07595124 0.07225264]
PDZRN4	[-0.07593917  0.07229807]
SLC29A1	[-0.07593209  0.07232473]
DKK3	[-0.07590168  0.07243938]
FAM103A1	[0.07587469 0.07254127]
NEK9	[0.07583871 0.07267727]
ABCF3	[0.07583048 0.0727084 ]
FRMD4A	[-0.07578664  0.07287443]
PTPRT	[-0.07576365  0.07296164]
SPATA1	[-0.0757537   0.07299939]
RXRB	[-0.07574168  0.07304505]
ERGIC1	[-0.07567336  0.07330491]
SEC63	[0.07566465 0.0733381 ]
FGL1	[-0.0756643   0.07333946]
D4S234E	[0.07566375 0.07334154]
APOBEC3C	[0.07565627 0.07337004]
GSX1	[-0.07565621  0.07337027]
EBI3	[-0.07562761  0.07347937]
GREM2	[-0.07562048  0.07350659]
GALNT6	[0.07555656 0.07375093]
RTF1	[0.0755557  0.07375425]
CXorf41	[-0.07554114  0.07380999]
RLBP1	[-0.07551084  0.07392612]
GPR149	[-0.07550402  0.07395229]
SOD3	[-0.07550033  0.07396645]
MED1	[0.07548907 0.07400967]
RAB38	[0.07548409 0.07402879]
SGTB	[-0.07547708  0.07405572]
RGS9	[0.07545872 0.07412625]
SMARCC2	[0.07545855 0.07412692]
SIGLEC9	[-0.07543892  0.07420242]
C14orf142	[0.07543419 0.07422061]
CREB3L1	[-0.07542776  0.07424534]
PIK3CG	[-0.07541249  0.07430417]
PPAPDC1A	[0.07540509 0.07433265]
SPP1	[-0.07540388  0.07433734]
ITGB3	[-0.07537741  0.07443937]
MEA1	[-0.0753533   0.07453241]
LYZ	[-0.07533651  0.07459724]
LOC90925	[-0.07532622  0.07463702]
LDB2	[-0.07532116  0.0746566 ]
ADAM10	[0.07530925 0.07470266]
NAIP	[-0.07528305  0.07480406]
STK10	[-0.0752728   0.07484377]
TACR2	[-0.07526403  0.07487776]
NACA	[0.07526302 0.07488168]
ATP10D	[-0.07525769  0.07490231]
OR4K15	[-0.07525443  0.07491497]
TUFM	[0.07524696 0.07494394]
ULBP2	[-0.07522166  0.0750421 ]
